text,BIO_anno,class
不会吧卡种都不一样，我申请的是金卡,O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT,2
信用卡的账单日和还款日是固定的，而不是从以你刷卡的时间开始算！,B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O,2
羡慕你们这些特邀用户,O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
金额提高了告诉我谢谢。,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
瞎扯吧，我倒是不信这个借口,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,0
先申请一张鼎致白，再销了这张金卡后，申请一张车主白。,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-PRODUCT I-PRODUCT O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O,2
相比之下大山白的年费就难搞多了，刷来刷去都没分,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O,0
工商银行，农业银行，建行，中国银行，四大行的利率都是比较低，主要看是哪种贷款,B-BANK I-BANK I-BANK I-BANK O B-BANK I-BANK I-BANK I-BANK O B-BANK I-BANK O B-BANK I-BANK I-BANK I-BANK O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-PRODUCT I-PRODUCT,2
手机银行APP，搜激活，选本地网点，然后高德地图上查营业时间,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O,2
普通人日常消费，有一两家机构授信，额度就远多于需要了。不够用的，有可能出差非常多，有可能做生意周转，有可能套x，有可能以贷养贷等等。多数是不符合央行规定，也不...,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
我也在开发老婆的额度来用嘿嘿,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2
恭喜恭喜！白金了么？,B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,1
可以打电话找客服分期，我的刚分了48期,O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O,2
0.5高了，相当于每天万三的费率！,O O O B-COMMENTS_ADJ O O O O O O O O O O O O O,0
工银e生活看能不能查到,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2
基本都是秒批吧，我身边5个人一起同一时间申请都秒批了。反正我办的工商，建设都是的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O B-BANK I-BANK O O O,2
一般不会，白金卡还是很好用的,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O,1
呆帐改成销户不需要等五年,O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2
怎么申请的啊，我也想有这个高额度,O O O O O O O O O O O O O B-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N,2
不是限额，以前天天转的，就现在不能转账了。我要不要去提款机看看能不能提款？,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2
我的也是三个法案逾期了，让我先交最低的再分期。,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT O,2
你对砖行算是有情有义了，倒是砖行对你不仁不义，销得漂亮不惯它！,O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,0
我也收到了。?查信用信息，不是审前额度?哪里可以申请轻松贷款？怎么收利息？,O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O,2
浦发：加速金80.5k平安：车主金60k,B-BANK I-BANK O O O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O O O,2
算，我4号账单日，8号退款算还款的,O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
中信标准白5建行全球白5,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O B-BANK I-BANK O O O O,2
平50K信40K建20K中15K,B-BANK O O O B-BANK O O O B-BANK O O O B-BANK O O O,2
你从下卡到现在有多久？有2年了吗,O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2
办信用卡只有信用卡的查询记录，没有贷款的记录。不像某些垃圾公司，悄悄给你来个贷款审批的记录[生气],O B-PRODUCT I-PRODUCT I-PRODUCT O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,0
建行有房贷所以给的,B-BANK I-BANK O B-PRODUCT I-PRODUCT O O O O,2
是不是除了不能分期别的都可以正常用卡吧,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2
全球支付是N个账户么？,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O,2
哪也一样上征信??你这个是消费不上征信而已逾期就上征信,O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
这个很难申请么？我去年申请i白金，结果竟然是跟这个套卡，当时马上发觉不对打电话注销，因为下卡太快了，不到一个星期而已...,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O,2
就几十几百，一天七八笔，也有十几块，手续费还是看一看的,O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O,2
兴业不错,B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ,1
我也收到此类短信，群发的吧，所以没用，不用担心,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
你把标题放水去掉就好了，这样容易挨骂。,O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2
下卡了吗,B-COMMENTS_N I-COMMENTS_N O O,2
招商官方说有，7011。客服瞎说还是有新的规则还没官方公布却实行了？搞不懂。招商积分是最烦的，还有海量的天书商户，佛系了,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O,0
哎，这里也来屠版了,O O O O O O O O O,2
刚才那张图，你再点击一下，然后你就会看到，有一个“卡片信息”，这个就能显示是正常还是不正常,O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
噗，光大很好下的，你至于这样做那么多工作么，再申请一次就好了，资料填好一点,O O B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O,2
我让建行查原因，就是多头授信,O O B-BANK I-BANK O O O O O O O O B-PRODUCT I-PRODUCT,2
其他银行的信用卡显示吗,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O,2
我想问下，小网贷多有办法申卡吗？征信上还有10笔网贷，额度都不大一起不到1万,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N O O B-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O,2
是打的座机号码联系卡员上门办理吗？,O O O O O O O O O O O O O O O O O,2
要么还钱后再撕到底，和着一个人的征信就值3000块？,O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O,2
你是4星吗，我是工行的五星,O O O O O O O O B-BANK I-BANK O O O,2
没打，基金都亏了，打了也没啥啊,O O O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ O O O O O O O O,2
装修贷批了吗，我的也是已完结，,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O,2
我都没这个优惠，有的话我也分期了,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-PRODUCT I-PRODUCT O,2
双1112之类的。反正工行好像差不多赢了卡一两,O O O O O O O O O O O B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O B-PRODUCT O O,2
找理财经理特批,O B-PRODUCT I-PRODUCT O O O O,2
中信最垃圾，申请信用卡，打了两次回访，现在还在审核中，真恶心,B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,0
我昨天申请的已经拒了。如果负债高，查询多信用卡账户也多，就不要去碰瓷了。我打电话问的。这玩意，资质好的秒过，一直不好的别去尝试了。额，又特么浪费一次查询...,O O O O O O O O B-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_ADJ B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,0
同黑不能分期没临时,O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT O O O,2
工商和民生好像也有美运黑,B-BANK I-BANK O B-BANK I-BANK O O O O O O O,2
我是5万挡，招行的,O O O O O O B-BANK I-BANK O,2
但是没钱用还是挺好的,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
赶紧还进去吧！然后跟客服好好说，如果逾期3个月，视为严重，会上报人行。,O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O,2
最近不幸的遭遇一次手机被盗，为了安全把所有银行卡换了一遍，其他所有银行二话不说都给我换了，唯独神经病一样的交行客服,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O B-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-BANK I-BANK B-PRODUCT I-PRODUCT,0
20多的要不要，浦发的随便班,O O O O O O O O B-BANK I-BANK O O O O,2
建行好像不用面签的啊，我记得我是直接app激活,B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N,2
我的支付白还在审批,O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N,2
你是哪里申请，去淄博激活的？,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2
那肯定的啊，系统都会显示的，完全放心,O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
一分钱活动啊，手机银行就有啊,O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O,2
法人问题不大吗？?我曾经做过卡法人，能够审批来料零件。,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2
民生首卡网申下卡40k,B-BANK I-BANK B-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O O O,2
我信用卡才1.5k额度，融e,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N O O O,2
其实临时额度和永久额度的区别就在于临时额度有时间,O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O,2
看来老哥有理财吧？这么高总授信了小招还给你提额。,O O O O O B-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_N I-COMMENTS_N O,2
我也有短信通知有额度，怎么申请？,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O,2
个性化分期协议，应该你也有一份的,O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O,2
说下你的社保和公积金，看到你的情况，让我有试一试的冲动了,O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O,2
只有取现取出来后，再怎么存就管不到了,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O,2
你从20w开始，我收到的邀请是从5w开始，也慢慢提起来了,O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2
浦发，JAL+MU,B-BANK I-BANK O O O O O O O,2
晕之前去的夜店都有积分现在都没有了而且是真实消费,O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
提供了工牌，社保卡，近三个月招行卡流水,O O O O O O O O O O O O O O B-BANK I-BANK O B-COMMENTS_N I-COMMENTS_N,2
我比你狠，你是因为征信降一半，我是因为套现被一刀撸了,O O O B-COMMENTS_ADJ O O O O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ O O O O O O O O O O O O O O,0
等了1天，卡批了，现在已经4张，额度都还挺满意,O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
信用卡协商还款吧，6万的额度，利息泄纳金到9万了，还了两万剩下的七万协商还款也不晚，然后还能解除储蓄...,B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O,2
不影响，18万闪电贷之后下经典白,B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT I-PRODUCT,2
基本很稳的我的没工作都下,O O O B-COMMENTS_ADJ O O O O O O O O,2
我的最优就是全额，不知好事还是坏事,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
建行的优势绝对不在信用卡上,B-BANK I-BANK O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-PRODUCT I-PRODUCT I-PRODUCT O,1
没想到你也开始逾期了。股市没钱吗弄出来先还了再说，亏就亏点,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O B-COMMENTS_ADJ O,2
你好建行龙卡JOY跟龙卡益贷哪个好用？哪个额度更高,O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ,2
由你卡审核中代表有电话，等着吧，注意接听,O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O,2
已关注，楼主下款了说下。我也有80000额度,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2
我可能是逾的不够久，老被他们拖着，我看我八月份还了款，不知道什么时候他们又给我延期了一期，老不给我协商。,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,0
一步到不了位啊，一步最多只能增加30，我这增加了45。同一天多次申请容易姐借款只查一次贷款审批的征信。但是借款记录有两条。...,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O,2
拒绝了，一般两天没结果就是15天自动拒,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O,2
有房有车可以做一笔贷款还清啊,O O O O O O O O O B-PRODUCT I-PRODUCT O O O,2
这利息可以呀，额度高,O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ,2
大概率共享，不建议申请，共享额度没啥意义i,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,0
我也是4-29提的，一直都是2.5额度，不知道7-29能不能提,O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
万份收益一块多，余额宝才七毛,O O B-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O,2
老哥什么资质，额度都这么高,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ,2
分期通只能刷卡。。扫不了码??你之前选的消费品目是什么大额消费品？,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
比网申有用么,O B-PRODUCT I-PRODUCT O O O,2
你临时都没用吗？我的临时额度都用了,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O,2
太白了，要从商业银行走起。,O O O O O O O O O O O O O,2
个税真的不是问题。。。保险公司就是保单挂靠你的名字，他也交税，你也交税，都要交税的，中行首次提额6个月，然后过了几个月电话邀请办卡又提了一次。...,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O,2
风险低,O O B-COMMENTS_ADJ,2
我的协商下来了，分了60期，分期还是很划算的,O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
工行的白金就是额度不稳定,B-BANK I-BANK O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,2
以前七行的时候提过两次，后来九行的时候就没提过了，快两年了没有一次贷后，感觉银行不指望了，不靠谱,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ,0
广发钻石精英、无限visa---12w,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O,2
恭喜，主要我还一张信用卡没有，我寻思有一张我好好养着,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O,1
征信都没有拉，直接批。,B-PRODUCT I-PRODUCT O O O O O O O O O,2
没单位也能通过？这得存了多少啊，还是有别的来往，,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O,2
对我名下所有银行卡冻结吗??别的银行也能吗??包括微信支付宝,O O O O O O O O B-PRODUCT O O O O O O O O O O O O O O O O O O O O O,2
ps：账单发不了图，3.7w临额这三个月刷剩百分之二十。,O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O,2
积分点进去，右上角有个积分兑换，在点进去就是这样右上角有个积分彩票，一张5000积分,B-PRODUCT I-PRODUCT O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O B-PRODUCT I-PRODUCT,2
等他到了你们地区，直接打电话给它说自己过来自提就好了。干嘛要改呢,O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2
是不是中国人寿,O O O B-BANK I-BANK I-BANK I-BANK,2
你是怎么做到6月9号4k，今天涨到19k的。。,O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O,2
中行怎么偷渡的教我,B-BANK I-BANK O O O O O O O,2
分期额度2倍加信用卡额度，对其他银行有没有好处看你总授信和负债楼主要打下详版征信不???想知道你这个授信40万????已用额度是显示20万还是40万。...,O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
4块，7块的刷了干嘛，又没积分。。。,O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O,2
有社保有公积金当天被拒了,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ O,2
我就一张信用卡一个农商消费贷加一个房贷，准备养养征信在搞工商，现在看到建设分期通还可以啊，毕竟我公积金是建行的，我不玩卡就想备着点银行贷款...,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT O O B-BANK I-BANK O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-BANK I-BANK O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O,2
我上次也是一样，分行打电话说套现太明显，要降额，我就咬定说没有套，要是降额就投诉银监会，然后就说先不降了，让后期注意...,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O,2
信用卡金卡和普通卡区别的是，额度相对更高,B-PRODUCT I-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2
那你牛逼了??额度千K起,O O O O O O O O O O O O,2
我也不知道算不算提供了社保公积金，小姐姐只是让我在招商银行app加入社保公积金，没有看明细。然后新办张储蓄卡往里面打1000块。总的来说还是带证明能下高点额度，老哥...,O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O B-BANK I-BANK I-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N O O O O O O,2
我现在的信用卡对于我申请其他银行的信用卡有帮助吗？,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O,2
协商分期还，我认识的老姐就是,O O B-PRODUCT I-PRODUCT O O O O O O O O O O,2
怎么样了球更新，三个月查询大概多少次,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
可以刷，不给刷可以投诉他，保留好发票，降额了可以投诉银行，我一个客户交住院押金4万隔了3个月银行降额，投诉成功，因为他这张卡都是真实消费，我们当地银保监要求银行恢...,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O,0
在你家附近做个地址，很方便的,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2
我是西安的。附属卡刚到激活，我的固定从65000提到95000，从2018到现在了没过提过临时，平常空卡，,O O O O O O O O B-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ B-PRODUCT O,2
老哥，电话打了好多了，工行就是头铁不给弄啊，要逾期才可以协商,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O B-BANK I-BANK O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2
工行20K-100K，2016.03~2016.06,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O,2
不管是购物（刷/扫），转账（你我他），所有资金流向链都是可溯源滴（银联清清楚楚！当然，各行间互溯是不可能滴，除非司法需求）存取现可断。...,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2
还有快10万积分除了喝咖啡都没什么用这腿毛卡还有用吗,O O B-COMMENTS_ADJ O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O,2
好像是每年5.4。费率好高啊,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ O,2
第二次怎么申请的我手机申请已经拒了一次今天柜员机申请了,O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O,2
路过看看哈，能提额还是提吧,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2
